"Curso","Asignatura","Codigo","Fisico","Online","Creditos","Tipo","Departamento","Vigencia","Cod Plan","Titulacion","Cod Centro","Centro","Annyo","Fecha"
"2","Tecnología de Fabricación","1970021","SI","SI","","OBLIGATORIA","","","197","Grado en Ingeniería Aeroespacial","45","E.T.S. de Ingeniería","Curso 2023-24","20240126"
"2","Gestión Ambiental en la Industria","51460109","SI","SI","","OPTATIVA","","","M146","Máster Universitario en Ingeniería Industrial","45","E.T.S. de Ingeniería","Curso 2023-24","20231106"
"4","Experimentación en Ingeniería Química II","2090038","SI","SI","","OBLIGATORIA","","","209","Grado en Ingeniería Química Industrial","23","Escuela Politécnica Superior","Curso 2021-22","20211215"
"4","Máquinas Térmicas e Hidráulicas","2140046","SI","SI","","OBLIGATORIA","","","214","Doble Grado en Ing.en Diseño Ind.y Desarrollo del Producto e Ing. Mecánica","23","Escuela Politécnica Superior","Curso 2023-24","20231011"
"4","Comunicaciones Móviles","1990073","SI","SI","","OPTATIVA","","","199","Grado en Ingeniería de las Tecnologías de Telecomunicación","45","E.T.S. de Ingeniería","Curso 2023-24","20240117"
"4","Derecho Financiero y Tributario II","1550034","SI","SI","","OBLIGATORIA","","","155","Grado en Derecho","20","Facultad de Derecho","Curso 2023-24","20231030"
"1","Práctica Procesal Penal","51400028","SI","SI","","OBLIGATORIA","","","M140","Doble Máster Universitario en Abogacía y Relaciones Jurídico-Privadas","20","Facultad de Derecho","Curso 2023-24","20240314"
"4","Centrales Hidráulicas","2210040","NO","SI","","OPTATIVA","","","221","Grado en Ingeniería de la Energía por la Un. de Sevilla y la Un. de Málaga","45","E.T.S. de Ingeniería","Curso 2021-22","20220128"
"2","Territorio, Turismo y Desarrollo Sostenible","1790021","SI","SI","","OBLIGATORIA","","","179","Grado en Turismo","7","Facultad de Turismo y Finanzas","Curso 2023-24","20240130"
"2","Virología","2170019","SI","SI","","OBLIGATORIA","","","217","Grado en Biomedicina Básica y Experimental","14","Facultad de Medicina","Curso 2021-22","20211215"
"2","Tecnologías de los Medios Audiovisuales II","2430026","NO","NO","","OBLIGATORIA","","","243","Doble Grado en Periodismo y Comunicación Audiovisual (2016)","2","Facultad de Comunicación","N",""
"1","Matemática Discreta","2410013","SI","SI","","OBLIGATORIA","","","241","Doble Grado en Matemáticas y Estadística","17","Facultad de Matemáticas","Curso 2022-23","20200212"
"4","Evaluación de Políticas Sociolaborales","1780039","SI","NO","","OPTATIVA","","","178","Grado en Relaciones Laborales y Recursos Humanos","8","Facultad de Ciencias del Trabajo","Curso 2014-15","20141107"
"1","Metodologías de Innovación para el Pensamiento y la Acción","51660009","SI","SI","","OBLIGATORIA","","","M166","Máster Universitario en Ciudad y Arquitectura Sostenibles","15","E.T.S. de Arquitectura","Curso 2017-18","20171110"
"1","Orientación Estratégica de las Personas II","51910020","","","","OPTATIVA","","","M191","Doble M.U. en Ciencias del Trabajo y en Gestión y Desarrollo de los RRHH","8","Facultad de Ciencias del Trabajo","",""
"4","Teoría y Práctica de la Traducción Literaria Italiano-Español","1590075","SI","NO","","OPTATIVA","","","159","Grado en Filología Hispánica","16","Facultad de Filología","N",""
"4","Plataformas Hardware de Aplicación Específica","2040041","SI","SI","","OPTATIVA","","","204","Grado en Ingeniería Informática-Ingeniería de Computadores","3","E.T.S. Ingeniería Informática","Curso 2021-22","20151013"
"2","Derecho Administrativo I","2500031","SI","SI","","TRONCAL / FORMACIÓN BÁSICA","","","250","Doble Grado en Derecho y en Filosofía","20","Facultad de Derecho","Curso 2023-24","20231019"
"4","Sociología del Empleo y la Formación","1740032","SI","SI","","OPTATIVA","","","174","Grado en Pedagogía","18","Facultad de Ciencias de la Educación","Curso 2021-22","20200420"
"1","La Construcción del Sujeto en la Filosofía Moderna","51150013","SI","SI","","OPTATIVA","","","M115","Máster Universitario en Filosofía y Cultura Moderna","12","Facultad de Filosofía","Curso 2021-22","20200509"
"1","Salud Infantil: Educación Motriz y Artística","1940002","SI","SI","","TRONCAL / FORMACIÓN BÁSICA","","","194","Grado en Educación Infantil","18","Facultad de Ciencias de la Educación","Curso 2021-22","20200421"
"1","Lengua Clásica (Latín)","2380003","SI","NO","","TRONCAL / FORMACIÓN BÁSICA","","","238","Doble Grado en Educación Primaria y Estudios Franceses","16","Facultad de Filología","Curso 2019-20","20200421"
"2","Análisis de la Cultura Material","2420016","SI","SI","","OBLIGATORIA","","","242","Grado en Arqueología por la Unv. de Granada, Unv. de Jaén y Unv.de Sevilla","4","Facultad de Geografía e Historia","Curso 2015-16","20160510"
"1","Tecnología Energética III","51940030","","","","OBLIGATORIA","","","M194","Doble M.U.en Ingeniería Industrial e Ing.Electrónica, Robótica y Automática","45","E.T.S. de Ingeniería","",""
"1","Fundamentos de Contabilidad","2630006","","","","TRONCAL / FORMACIÓN BÁSICA","","","263","Doble Grado en Finanzas y Contabilidad y Turismo","7","Facultad de Turismo y Finanzas","",""
"4","Análisis y Prevención de Riesgos Laborales","2250067","SI","SI","","OPTATIVA","","","225","Grado en Ingeniería Civil","45","E.T.S. de Ingeniería","Curso 2023-24","20240105"
"1","Tecnología Eléctrica","2010010","SI","SI","","OBLIGATORIA","","","201","Grado en Ingeniería Electrónica Industrial","23","Escuela Politécnica Superior","Curso 2023-24","20231005"
"4","Construcción V: Construcción Sostenible","2440035","SI","SI","","OBLIGATORIA","","","244","Grado en Edificación","98","E.T.S. de Ingeniería de Edificación","Curso 2017-18","20171010"
